title,rating
"Verdict, The (1982)",3.5
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",2.5
Stand and Deliver (1988),3.5
Moonstruck (1987),2.5
"Sandpiper, The (1965)",5.0
Jeremiah Johnson (1972),4.5
Repulsion (1965),3.5
Irma la Douce (1963),4.0
42 Up (1998),4.0
Liberty Heights (1999),4.0
Mansfield Park (1999),3.0
Sleepy Hollow (1999),4.0
"World Is Not Enough, The (1999)",4.0
All About My Mother (Todo sobre mi madre) (1999),4.5
Babes in Toyland (1934),5.0
Scrooged (1988),3.0
Harvey (1950),4.0
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),3.0
Matewan (1987),4.0
Kagemusha (1980),4.0
McCabe & Mrs. Miller (1971),4.0
Maurice (1987),4.0
"Grapes of Wrath, The (1940)",4.0
My Man Godfrey (1957),5.0
"Shop Around the Corner, The (1940)",4.0
"Natural, The (1984)",3.0
Shampoo (1975),2.0
"River Runs Through It, A (1992)",3.5
Fatal Attraction (1987),3.0
Jagged Edge (1985),3.5
Stanley & Iris (1990),3.0
Midnight Run (1988),3.5
Awakenings (1990),4.0
Come See the Paradise (1990),1.0
Backdraft (1991),4.0
"Fisher King, The (1991)",4.0
"River, The (1984)",4.0
Places in the Heart (1984),4.0
'night Mother (1986),3.0
End of Days (1999),2.5
Toy Story 2 (1999),4.0
Flawless (1999),4.0
Ride with the Devil (1999),4.0
"Distinguished Gentleman, The (1992)",3.5
"End of the Affair, The (1999)",4.0
Holy Smoke (1999),3.0
Sweet and Lowdown (1999),3.5
Bonfire of the Vanities (1990),3.0
Daddy Long Legs (1919),2.0
Grand Illusion (La grande illusion) (1937),3.5
"Great Santini, The (1979)",4.0
Stealing Home (1988),3.0
"Two Jakes, The (1990)",1.5
U2: Rattle and Hum (1988),3.0
Hell in the Pacific (1968),3.0
Cradle Will Rock (1999),3.0
Deuce Bigalow: Male Gigolo (1999),1.5
"Green Mile, The (1999)",3.0
"Cider House Rules, The (1999)",4.0
"War Zone, The (1999)",3.0
"Last Picture Show, The (1971)",4.0
"7th Voyage of Sinbad, The (1958)",4.5
Anna and the King (1999),3.5
Bicentennial Man (1999),2.5
Stuart Little (1999),2.5
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",3.5
Fantasia 2000 (1999),3.5
Magnolia (1999),4.0
Onegin (1999),3.0
Simpatico (1999),3.0
Topsy-Turvy (1999),4.0
Boiling Point (1993),3.0
Carnal Knowledge (1971),4.0
Easy Rider (1969),4.0
The Falcon and the Snowman (1985),3.5
Room at the Top (1959),4.0
Any Given Sunday (1999),3.0
Man on the Moon (1999),3.0
Galaxy Quest (1999),3.5
"Talented Mr. Ripley, The (1999)",2.0
Next Friday (2000),3.5
"Hurricane, The (1999)",3.5
Angela's Ashes (1999),3.5
Titus (1999),3.5
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",4.0
"Third Miracle, The (1999)",3.0
Snow Falling on Cedars (1999),3.5
"Girl, Interrupted (1999)",3.5
My Dog Skip (1999),4.0
Supernova (2000),2.0
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)",3.0
"Way We Were, The (1973)",4.0
Stalag 17 (1953),3.5
"Presidio, The (1988)",2.5
Papillon (1973),4.0
"Last Detail, The (1973)",4.0
Five Easy Pieces (1970),4.5
Dead Calm (1989),3.0
"Boys from Brazil, The (1978)",4.0
Against All Odds (1984),2.5
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),2.0
Fast Times at Ridgemont High (1982),3.0
"Cry in the Dark, A (1988)",4.0
Batman: Mask of the Phantasm (1993),3.0
American Flyers (1985),3.5
"Star Is Born, A (1937)",4.0
Pacific Heights (1990),2.5
"Draughtsman's Contract, The (1982)",4.5
"Zed & Two Noughts, A (1985)",3.0
Woman in the Dunes (Suna no onna) (1964),4.5
Down to You (2000),2.5
"Odessa File, The (1974)",4.0
Where the Buffalo Roam (1980),3.0
Eye of the Beholder (1999),1.5
"Big Tease, The (1999)",3.0
"Cup, The (Phörpa) (1999)",4.5
Encino Man (1992),2.0
"Goodbye Girl, The (1977)",4.0
Malcolm X (1992),4.5
Sister Act (1992),2.5
Sister Act 2: Back in the Habit (1993),2.0
"Hand That Rocks the Cradle, The (1992)",3.0
Alive (1993),2.5
Agnes of God (1985),4.0
Scent of a Woman (1992),4.0
Wayne's World (1992),2.5
Wayne's World 2 (1993),3.0
"League of Their Own, A (1992)",2.0
Patriot Games (1992),3.0
"Bodyguard, The (1992)",2.0
Death Becomes Her (1992),2.5
Far and Away (1992),3.0
Howards End (1992),4.0
Singles (1992),4.0
Twin Peaks: Fire Walk with Me (1992),4.0
White Men Can't Jump (1992),2.5
Buffy the Vampire Slayer (1992),2.0
Hard-Boiled (Lat sau san taam) (1992),4.5
Man Bites Dog (C'est arrivé près de chez vous) (1992),4.0
"Mariachi, El (1992)",3.5
Stop! Or My Mom Will Shoot (1992),2.0
Forever Young (1992),2.5
"Cutting Edge, The (1992)",2.5
Of Mice and Men (1992),3.0
Bad Lieutenant (1992),4.5
Scream 3 (2000),3.0
Single White Female (1992),4.0
"Boondock Saints, The (2000)",4.0
Gun Shy (2000),1.0
"Baby, The (1973)",1.5
"Brandon Teena Story, The (1998)",2.0
Minnie and Moskowitz (1971),3.0
They Might Be Giants (1971),3.0
"Beach, The (2000)",3.5
Snow Day (2000),2.0
"Tigger Movie, The (2000)",3.0
Not One Less (Yi ge dou bu neng shao) (1999),4.5
Eaten Alive (1977),1.5
Raining Stones (1993),4.0
To Sir with Love (1967),4.0
Boiler Room (2000),4.0
Hanging Up (2000),3.0
Pitch Black (2000),4.0
"Whole Nine Yards, The (2000)",3.5
Beautiful People (1999),4.5
Black Tar Heroin: The Dark End of the Street (2000),5.0
"Circus, The (1928)",4.0
City Lights (1931),4.0
"Flamingo Kid, The (1984)",4.0
"Kid, The (1921)",4.5
Class Reunion (1982),1.5
Happy Go Lovely (1951),4.5
Reindeer Games (2000),3.0
Wonder Boys (2000),4.0
Chain of Fools (2000),4.0
Drowning Mona (2000),1.5
"Next Best Thing, The (2000)",3.0
What Planet Are You From? (2000),3.5
Beyond the Mat (1999),4.0
Ghost Dog: The Way of the Samurai (1999),4.5
The Year My Voice Broke (1987),4.0
Splendor in the Grass (1961),4.0
My Tutor (1983),2.0
Key Largo (1948),4.0
Born Yesterday (1950),4.5
Birdy (1984),3.0
Blood Feast (1963),4.0
"Charlie, the Lonesome Cougar (1967)",3.0
Never Cry Wolf (1983),4.5
"Raisin in the Sun, A (1961)",4.0
"Closer You Get, The (2000)",4.5
Mission to Mars (2000),2.5
"Ninth Gate, The (1999)",3.5
East-West (Est-ouest) (1999),4.0
Defending Your Life (1991),3.5
Breaking Away (1979),4.0
Hoosiers (a.k.a. Best Shot) (1986),2.5
Bull Durham (1988),3.0
Dog Day Afternoon (1975),4.5
American Graffiti (1973),4.5
"Asphalt Jungle, The (1950)",4.0
"Searchers, The (1956)",4.5
"Big Country, The (1958)",3.5
Betrayed (1988),2.5
"Bridge at Remagen, The (1969)",4.0
Daughters of the Dust (1991),4.0
"Ogre, The (Unhold, Der) (1996)",4.0
On the Beach (1959),4.5
"Taking of Pelham One Two Three, The (1974)",4.0
Volunteers (1985),2.0
JFK (1991),4.0
Who's Harry Crumb? (1989),3.0
Harry and the Hendersons (1987),2.5
Let's Get Harry (1986),2.0
Shanghai Surprise (1986),2.0
Who's That Girl? (1987),2.5
She-Devil (1989),2.5
Date with an Angel (1987),1.5
Blind Date (1987),2.5
Nadine (1987),3.0
"Muppet Movie, The (1979)",3.5
"Great Muppet Caper, The (1981)",3.5
"Muppets Take Manhattan, The (1984)",3.5
We're Back! A Dinosaur's Story (1993),3.0
Baby... Secret of the Lost Legend (1985),3.0
Turtle Diary (1985),4.0
Raise the Titanic (1980),4.0
Titanic (1953),3.5
"Night to Remember, A (1958)",3.0
Captain Horatio Hornblower R.N. (1951),3.0
Erin Brockovich (2000),3.0
Final Destination (2000),2.5
Soft Fruit (1999),4.0
"Bear, The (Ours, L') (1988)",3.5
Love Is a Many-Splendored Thing (1955),4.0
"Mirror, The (Zerkalo) (1975)",4.0
"Crimson Pirate, The (1952)",3.0
Thelma & Louise (1991),4.0
...And Justice for All (1979),3.0
Animal House (1978),3.5
She's Gotta Have It (1986),3.5
School Daze (1988),2.5
Do the Right Thing (1989),4.5
Mo' Better Blues (1990),3.5
Jungle Fever (1991),3.5
"Champ, The (1979)",3.0
Creature Comforts (1989),4.0
Death Wish (1974),3.0
Death Wish 2 (1982),1.5
Death Wish 3 (1985),1.5
Death Wish 4: The Crackdown (1987),1.0
Death Wish 5: The Face of Death (1994),1.0
Double Indemnity (1944),4.5
Dying Young (1991),3.5
Teenage Mutant Ninja Turtles (1990),3.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),2.0
Teenage Mutant Ninja Turtles III (1993),1.0
Red Dawn (1984),4.0
Band of the Hand (1986),1.0
Bloodsport (1988),2.5
Eyes of Laura Mars (1978),4.0
Funny Bones (1995),3.0
"Good Earth, The (1937)",4.0
"Good Morning, Vietnam (1987)",3.5
"Good Mother, The (1988)",4.0
Grumpy Old Men (1993),3.0
Guess Who's Coming to Dinner (1967),4.5
Romeo Must Die (2000),3.0
Here on Earth (2000),3.0
Whatever It Takes (2000),2.0
Buddy Boy (1999),2.5
Gothic (1986),4.0
Lord of the Flies (1963),2.0
Modern Times (1936),4.0
Heart and Souls (1993),3.0
Hud (1963),4.0
"Hustler, The (1961)",4.5
Inherit the Wind (1960),4.0
Dersu Uzala (1975),4.0
Close Encounters of the Third Kind (1977),3.0
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976),5.0
Retroactive (1997),4.0
"Place in the Sun, A (1951)",4.5
Jacob's Ladder (1990),3.5
Empire Records (1995),3.5
"Bamba, La (1987)",2.5
Ladyhawke (1985),3.5
Lucas (1986),3.5
High Fidelity (2000),3.5
"Road to El Dorado, The (2000)",4.0
"Skulls, The (2000)",2.0
Hook (1991),3.5
"Son of the Sheik, The (1926)",4.0
True Grit (1969),3.5
Madame Sousatzka (1988),5.0
Max Dugan Returns (1983),2.5
Midnight Express (1978),3.0
Misery (1990),3.5
Mr. Saturday Night (1992),3.0
Murphy's Romance (1985),2.0
My Life (1993),3.5
Solaris (Solyaris) (1972),4.0
Network (1976),3.0
No Way Out (1987),3.0
North Dallas Forty (1979),2.5
"Odd Couple, The (1968)",4.0
"Outlaw Josey Wales, The (1976)",4.0
Frequency (2000),3.5
Ready to Rumble (2000),1.0
Return to Me (2000),3.5
Rules of Engagement (2000),3.0
Joe Gould's Secret (2000),3.0
Me Myself I (2000),3.5
"Bell, Book and Candle (1958)",3.5
Force 10 from Navarone (1978),3.0
Mystery Train (1989),3.5
Arthur (1981),3.5
Bachelor Party (1984),3.0
Parenthood (1989),3.5
Predator (1987),4.5
"Prince of Tides, The (1991)",3.5
"Postman Always Rings Twice, The (1981)",4.0
All the Vermeers in New York (1990),5.0
28 Days (2000),3.0
American Psycho (2000),4.0
Keeping the Faith (2000),4.0
Where the Money Is (2000),3.0
East is East (1999),4.0
"Filth and the Fury, The (2000)",3.0
Diner (1982),4.0
Shakes the Clown (1992),2.0
Cabaret (1972),3.5
What Ever Happened to Baby Jane? (1962),4.5
Auntie Mame (1958),4.0
Guys and Dolls (1955),4.0
The Hunger (1983),3.0
Marathon Man (1976),4.0
Caddyshack (1980),3.0
Gossip (2000),2.0
Love and Basketball (2000),3.0
U-571 (2000),4.0
"Virgin Suicides, The (1999)",4.0
Jennifer 8 (1992),2.5
Limelight (1952),3.5
"Crow: Salvation, The (2000)",2.0
"Flintstones in Viva Rock Vegas, The (2000)",1.5
Where the Heart Is (2000),4.0
"Big Kahuna, The (2000)",2.0
Bossa Nova (2000),5.0
Smiling Fish and Goat on Fire (1999),4.0
"Idiots, The (Idioterne) (1998)",4.0
Time Code (2000),3.0
Carnosaur (1993),2.0
Carnosaur 2 (1995),1.5
Carnosaur 3: Primal Species (1996),1.0
"Hidden, The (1987)",4.0
Two Moon Junction (1988),2.0
Gladiator (2000),4.5
Up at the Villa (2000),3.5
Human Traffic (1999),3.5
Breathless (1983),2.5
The Idolmaker (1980),4.0
Inferno (1980),3.0
"Lords of Flatbush, The (1974)",2.0
Mr. Mom (1983),2.0
"Time Masters (Maîtres du temps, Les) (1982)",4.5
Battlefield Earth (2000),2.0
Center Stage (2000),3.0
Screwed (2000),1.0
Whipped (2000),2.0
Hamlet (2000),3.0
Anchors Aweigh (1945),3.0
Gypsy (1962),0.5
On the Town (1949),3.5
Pee-wee's Big Adventure (1985),3.0
Regret to Inform (1998),3.5
Honeymoon in Vegas (1992),2.5
Dinosaur (2000),3.5
Loser (2000),3.0
Road Trip (2000),3.5
Small Time Crooks (2000),3.5
"Hollywood Knights, The (1980)",2.0
"Twelve Chairs, The (1970)",3.0
Mission: Impossible II (2000),3.0
Shanghai Noon (2000),3.5
Better Living Through Circuitry (1999),2.0
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),3.5
Carnival of Souls (1962),3.5
Flying Tigers (1942),3.0
"Gold Rush, The (1925)",4.0
Monsieur Verdoux (1947),4.0
On Her Majesty's Secret Service (1969),3.0
Seven Days in May (1964),4.0
"Spy Who Loved Me, The (1977)",2.5
Vagabond (Sans toit ni loi) (1985),5.0
Moonraker (1979),2.0
"Man with the Golden Gun, The (1974)",3.0
"King in New York, A (1957)",4.0
"Woman of Paris, A (1923)",4.0
"Fighting Seabees, The (1944)",3.5
Big Momma's House (2000),1.5
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",4.0
American Gigolo (1980),3.0
"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi) (1980)",3.0
"Endless Summer, The (1966)",4.0
"Guns of Navarone, The (1961)",3.5
Blow-Out (La grande bouffe) (1973),4.5
Quatermass and the Pit (1967),3.0
Puppet Master (1989),2.0
Puppet Master II (1991),3.0
Puppet Master III: Toulon's Revenge (1991),3.0
Puppet Master 4 (1993),2.0
Puppet Master 5: The Final Chapter (1994),2.0
Rent-A-Cop (1988),1.0
Romeo and Juliet (1968),4.0
Stay Tuned (1992),2.5
Blazing Saddles (1974),4.5
Benji (1974),4.5
Benji the Hunted (1987),4.5
For the Love of Benji (1977),4.0
White Christmas (1954),4.5
Eraserhead (1977),3.5
Baraka (1992),4.5
"Man with the Golden Arm, The (1955)",5.0
"Decline of Western Civilization, The (1981)",4.0
"Decline of Western Civilization Part II: The Metal Years, The (1988)",3.0
For a Few Dollars More (Per qualche dollaro in più) (1965),4.5
Magnum Force (1973),3.5
Blood Simple (1984),4.0
"Fabulous Baker Boys, The (1989)",3.0
Prizzi's Honor (1985),3.5
Flatliners (1990),3.0
Light Years (Gandahar) (1988),5.0
Porky's (1982),2.0
Porky's II: The Next Day (1983),2.5
Porky's Revenge (1985),1.5
Private School (1983),3.0
Class of Nuke 'Em High (1986),3.0
"Toxic Avenger, The (1985)",2.0
"Toxic Avenger, Part II, The (1989)",2.0
"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",2.0
Night of the Creeps (1986),3.5
Predator 2 (1990),3.0
"Running Man, The (1987)",3.0
Starman (1984),3.5
"Brother from Another Planet, The (1984)",2.5
Alien Nation (1988),3.5
Mad Max (1979),4.0
"Road Warrior, The (Mad Max 2) (1981)",4.0
Mad Max Beyond Thunderdome (1985),3.0
Bird on a Wire (1990),2.5
Angel Heart (1987),3.0
9 1/2 Weeks (Nine 1/2 Weeks) (1986),2.5
Firestarter (1984),3.0
Sleepwalkers (1992),2.0
Action Jackson (1988),2.0
Sarafina! (1992),4.0
Soapdish (1991),2.5
"Long Walk Home, The (1990)",4.0
Clara's Heart (1988),2.5
Burglar (1987),3.0
Fatal Beauty (1987),1.0
Gone in 60 Seconds (2000),3.0
Love's Labour's Lost (2000),3.0
Sunshine (1999),4.0
Hamlet (1990),4.0
Coming Home (1978),3.5
American Pop (1981),3.5
Assault on Precinct 13 (1976),4.0
Near Dark (1987),4.0
One False Move (1992),4.0
Shaft (1971),3.5
"Conversation, The (1974)",3.5
Cutter's Way (1981),3.0
"Fury, The (1978)",3.0
"Paper Chase, The (1973)",4.0
Serpico (1973),4.0
"Ace in the Hole (Big Carnival, The) (1951)",3.0
Lonely Are the Brave (1962),4.0
"Sugarland Express, The (1974)",3.0
Trouble in Paradise (1932),3.5
Big Trouble in Little China (1986),4.0
Badlands (1973),4.0
Battleship Potemkin (1925),3.0
Boys and Girls (2000),2.5
Shaft (2000),3.0
Titan A.E. (2000),3.5
Butterfly (La lengua de las mariposas) (1999),4.0
Jesus' Son (1999),3.5
Chicken Run (2000),3.0
"Me, Myself & Irene (2000)",3.5
"Patriot, The (2000)",3.5
"Adventures of Rocky and Bullwinkle, The (2000)",1.5
"Perfect Storm, The (2000)",3.5
"Golden Bowl, The (2000)",4.0
Communion (1989),3.5
"Kentucky Fried Movie, The (1977)",3.5
"Blood In, Blood Out (1993)",4.0
F/X (1986),3.0
F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991),2.0
"Hot Spot, The (1990)",3.0
Missing in Action (1984),2.0
Missing in Action 2: The Beginning (1985),2.0
Braddock: Missing in Action III (1988),1.5
Thunderbolt and Lightfoot (1974),3.5
Dreamscape (1984),2.5
The Golden Voyage of Sinbad (1973),4.0
House Party (1990),2.0
House Party 2 (1991),0.0
Croupier (1998),4.0
"Kid, The (2000)",3.0
Scary Movie (2000),2.5
But I'm a Cheerleader (1999),3.0
Shower (Xizao) (1999),4.0
Blow-Up (Blowup) (1966),3.5
"Pawnbroker, The (1964)",3.5
Groove (2000),4.0
Footloose (1984),3.0
Duel in the Sun (1946),5.0
X-Men (2000),4.0
Chuck & Buck (2000),2.5
"Five Senses, The (1999)",5.0
"In Crowd, The (2000)",3.0
What Lies Beneath (2000),3.0
Pokémon the Movie 2000 (2000),1.5
Anatomy of a Murder (1959),4.0
Freejack (1992),2.0
Mackenna's Gold (1969),3.0
Sinbad and the Eye of the Tiger (1977),3.0
"Two Women (Ciociara, La) (1960)",4.0
What About Bob? (1991),2.0
White Sands (1992),3.0
Breaker Morant (1980),4.0
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),4.0
Interiors (1978),4.5
Love and Death (1975),4.5
"Official Story, The (La historia oficial) (1985)",4.0
Tampopo (1985),4.0
Nutty Professor II: The Klumps (2000),2.5
"Girl on the Bridge, The (Fille sur le pont, La) (1999)",4.0
Wonderland (1999),4.0
Autumn in New York (2000),3.5
Coyote Ugly (2000),2.5
Hollow Man (2000),2.5
Space Cowboys (2000),2.0
Psycho Beach Party (2000),1.0
Saving Grace (2000),3.5
"Black Sabbath (Tre volti della paura, I) (1963)",4.0
"Brain That Wouldn't Die, The (1962)",1.5
Bronco Billy (1980),3.0
"Crush, The (1993)",2.0
Kelly's Heroes (1970),3.5
Phantasm II (1988),2.5
Phantasm III: Lord of the Dead (1994),2.0
Phantasm IV: Oblivion (1998),2.0
Pumpkinhead (1988),1.5
Air America (1990),2.5
Sleepaway Camp (1983),2.0
Steel Magnolias (1989),3.5
And God Created Woman (Et Dieu... créa la femme) (1956),4.0
Easy Money (1983),3.0
"Ilsa, She Wolf of the SS (1974)",2.0
The Spiral Staircase (1945),4.0
I'm the One That I Want (2000),5.0
"Tao of Steve, The (2000)",3.0
"Affair of Love, An (Liaison pornographique, Une) (1999)",4.5
Bless the Child (2000),4.0
Cecil B. DeMented (2000),3.5
"Eyes of Tammy Faye, The (2000)",4.0
"Replacements, The (2000)",3.0
About Adam (2000),4.0
"Cell, The (2000)",3.0
Godzilla 2000 (Gojira ni-sen mireniamu) (1999),2.0
"Original Kings of Comedy, The (2000)",3.5
"Naked Gun: From the Files of Police Squad!, The (1988)",2.0
"Naked Gun 2 1/2: The Smell of Fear, The (1991)",2.5
Our Town (1940),3.0
Shane (1953),4.0
"Suddenly, Last Summer (1959)",3.5
Cat Ballou (1965),3.0
Supergirl (1984),3.5
"Art of War, The (2000)",2.0
Bring It On (2000),2.0
"Crew, The (2000)",2.0
Skipped Parts (2000),4.0
Highlander: Endgame (Highlander IV) (2000),2.5
Nurse Betty (2000),4.0
Solas (1999),4.0
"Watcher, The (2000)",1.5
"Way of the Gun, The (2000)",3.5
Almost Famous (2000),4.5
Bait (2000),3.0
Circus (2000),1.0
Crime and Punishment in Suburbia (2000),4.0
Duets (2000),3.5
Under Suspicion (2000),2.5
Urban Legends: Final Cut (2000),1.5
Woman on Top (2000),2.5
Dancer in the Dark (2000),4.0
Best in Show (2000),3.5
Beautiful (2000),2.5
"Broken Hearts Club, The (2000)",4.0
Girlfight (2000),3.5
Remember the Titans (2000),4.0
Hellraiser (1987),4.0
Hellbound: Hellraiser II (1988),3.5
Hellraiser III: Hell on Earth (1992),2.5
"Faraway, So Close (In weiter Ferne, so nah!) (1993)",4.0
Bikini Beach (1964),1.0
Stranger Than Paradise (1984),4.0
Voyage to the Bottom of the Sea (1961),3.0
Fantastic Voyage (1966),2.5
Abbott and Costello Meet Frankenstein (1948),4.0
"Bank Dick, The (1940)",2.5
"Creature from the Black Lagoon, The (1954)",2.0
"Invisible Man, The (1933)",3.5
"Killer Shrews, The (1959)",0.5
Runaway (1984),2.5
"Slumber Party Massacre, The (1982)",3.0
Slumber Party Massacre II (1987),5.0
Slumber Party Massacre III (1990),5.0
Sorority House Massacre (1986),5.0
Sorority House Massacre II (1990),5.0
Bamboozled (2000),2.5
Digimon: The Movie (2000),3.0
Get Carter (2000),2.5
Get Carter (1971),3.5
Meet the Parents (2000),4.0
Requiem for a Dream (2000),4.0
Tigerland (2000),3.0
Two Family House (2000),5.0
"Contender, The (2000)",3.0
Dr. T and the Women (2000),2.0
"Ladies Man, The (2000)",1.5
Billy Jack (1971),2.5
Billy Jack Goes to Washington (1977),2.0
"Time Machine, The (1960)",4.5
Ghoulies II (1987),1.5
"Unsinkable Molly Brown, The (1964)",4.0
"Adventures of Ichabod and Mr. Toad, The (1949)",3.0
"Strange Love of Martha Ivers, The (1946)",3.5
Detour (1945),4.0
Billy Elliot (2000),4.0
Bedazzled (2000),2.5
Pay It Forward (2000),2.0
"Private Eyes, The (1981)",2.5
"Legend of Drunken Master, The (Jui kuen II) (1994)",4.5
Book of Shadows: Blair Witch 2 (2000),1.0
"Little Vampire, The (2000)",3.0
Charlie's Angels (2000),2.5
"Legend of Bagger Vance, The (2000)",3.0
Little Nicky (2000),2.0
Men of Honor (2000),3.0
Red Planet (2000),2.0
You Can Count on Me (2000),3.5
Diamonds Are Forever (1971),2.5
"Eagle Has Landed, The (1976)",3.5
"6th Day, The (2000)",2.0
Bounce (2000),2.5
How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),2.5
One Day in September (1999),4.0
Rugrats in Paris: The Movie (2000),2.0
102 Dalmatians (2000),3.0
Malèna (2000),4.0
Quills (2000),3.0
Unbreakable (2000),3.5
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",4.5
Dungeons & Dragons (2000),1.5
Proof of Life (2000),3.0
Vertical Limit (2000),3.5
"Bounty, The (1984)",3.0
"Planes, Trains & Automobiles (1987)",4.5
She's Having a Baby (1988),3.5
"Living Daylights, The (1987)",3.0
Transformers: The Movie (1986),3.0
Wall Street (1987),4.0
Born on the Fourth of July (1989),4.0
Talk Radio (1988),3.0
Brewster's Millions (1985),3.0
Snatch (2000),4.0
Punchline (1988),2.0
Chocolat (2000),3.0
"Dude, Where's My Car? (2000)",2.0
"Emperor's New Groove, The (2000)",4.0
Pollock (2000),3.5
What Women Want (2000),3.5
Finding Forrester (2000),4.0
"Gift, The (2000)",3.5
Before Night Falls (2000),4.5
Cast Away (2000),4.0
"Family Man, The (2000)",2.5
"House of Mirth, The (2000)",2.5
Miss Congeniality (2000),2.0
"O Brother, Where Art Thou? (2000)",4.0
State and Main (2000),3.5
Dracula 2000 (2000),2.0
All the Pretty Horses (2000),2.5
"Everlasting Piece, An (2000)",4.0
Thirteen Days (2000),4.0
Traffic (2000),4.0
"Claim, The (2000)",2.5
Shadow of the Vampire (2000),3.0
House of Games (1987),3.0
Annie (1982),2.0
Don't Tell Mom the Babysitter's Dead (1991),1.5
"Officer and a Gentleman, An (1982)",3.5
"Alamo, The (1960)",3.5
At Close Range (1986),3.5
Friendly Persuasion (1956),4.0
Gettysburg (1993),3.5
Horrors of Spider Island (Ein Toter Hing im Netz) (1960),0.5
Antitrust (2001),3.5
Double Take (2001),2.5
Save the Last Dance (2001),3.0
Panic (2000),4.0
"Pledge, The (2001)",3.5
The Man in the Moon (1991),4.0
Mystic Pizza (1988),3.5
Prelude to a Kiss (1992),2.0
Coffy (1973),3.5
Foxy Brown (1974),2.5
I'm Gonna Git You Sucka (1988),2.5
Untamed Heart (1993),4.0
Sugar & Spice (2001),2.5
"Wedding Planner, The (2001)",2.5
"Legend of Rita, The (Stille nach dem Schuß, Die) (1999)",3.0
"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)",4.5
Amazing Grace and Chuck (1987),4.0
Amazon Women on the Moon (1987),4.0
Baby Boom (1987),3.5
Back to the Beach (1987),2.0
Barfly (1987),3.5
Best Seller (1987),4.0
Beverly Hills Cop II (1987),2.5
Beverly Hills Cop (1984),2.5
"Big Easy, The (1987)",4.0
Born in East L.A. (1987),2.0
"Brave Little Toaster, The (1987)",3.5
Can't Buy Me Love (1987),3.5
Cherry 2000 (1987),2.0
Cop (1988),1.5
Eddie Murphy Raw (1987),4.5
Empire of the Sun (1987),3.5
Ernest Goes to Camp (1987),2.0
"Evil Dead, The (1981)",4.5
Flowers in the Attic (1987),3.5
"Fourth Protocol, The (1987)",3.0
Gardens of Stone (1987),3.0
"Glass Menagerie, The (1987)",3.0
Hiding Out (1987),2.0
Hollywood Shuffle (1987),5.0
Hope and Glory (1987),4.5
Innerspace (1987),2.5
Ishtar (1987),2.0
Jaws: The Revenge (1987),1.5
Leonard Part 6 (1987),0.5
Less Than Zero (1987),3.5
"Like Father, Like Son (1987)",2.0
"Lost Boys, The (1987)",3.5
Made in Heaven (1987),1.0
Maid to Order (1987),2.0
Making Mr. Right (1987),2.0
Mannequin (1987),2.5
Masters of the Universe (1987),2.5
"Monster Squad, The (1987)",5.0
My Demon Lover (1987),1.0
No Man's Land (1987),3.0
Head Over Heels (2001),2.0
Left Behind: The Movie (2000),4.5
Valentine (2001),3.5
In the Mood For Love (Fa yeung nin wa) (2000),4.0
"Million Dollar Hotel, The (2001)",3.0
Nico and Dani (Krámpack) (2000),4.0
Hannibal (2001),3.5
Saving Silverman (Evil Woman) (2001),2.0
Vatel (2000),4.0
Down to Earth (2001),2.5
Recess: School's Out (2001),4.0
Sweet November (2001),3.0
Company Man (2000),2.0
"Price of Milk, The (2000)",4.5
Monkeybone (2001),2.0
3000 Miles to Graceland (2001),3.0
"Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000)",4.0
"Mexican, The (2001)",3.0
"Caveman's Valentine, The (2001)",3.5
Series 7: The Contenders (2001),2.5
15 Minutes (2001),3.0
Get Over It (2001),3.0
Long Night's Journey Into Day (2000),4.0
Avalon (1990),3.0
Gray's Anatomy (1996),3.0
Of Mice and Men (1939),3.5
Reform School Girls (1986),5.0
Tapeheads (1988),2.0
"Bishop's Wife, The (1947)",4.0
Lilies of the Field (1963),4.0
"Greatest Story Ever Told, The (1965)",2.5
Elmer Gantry (1960),4.0
Alfie (1966),3.0
"Fantasticks, The (1995)",4.0
"Abominable Dr. Phibes, The (1971)",4.0
Real Life (1979),3.0
Battle Beyond the Stars (1980),3.0
Double Impact (1991),3.0
Fuzz (1972),3.0
